,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,74,63,51,89,78,98,98,68,73,91,94,73,76,69,92
1,90,80,81,99,77,89,68,96,95,63,76,72,69,96,78
2,50,91,54,94,97,63,64,75,77,86,65,75,63,74,74
3,63,65,52,64,66,56,74,69,52,66,96,81,96,83,70
4,97,56,68,89,54,57,74,92,88,60,99,58,91,72,55
5,64,71,92,74,95,92,79,55,78,68,96,99,78,66,79
6,87,58,84,99,88,98,62,75,96,68,65,59,57,84,95
7,61,51,59,60,71,80,83,76,60,72,60,92,67,89,62
8,84,78,93,96,88,99,85,91,53,54,52,86,59,56,54
9,59,96,90,97,67,97,80,75,58,85,57,71,51,92,61
